Layer #,Material,Length [lambda/4n]
1,Ta2O5,1.049774
2,SiO2,1.036507
3,Ta2O5,1.001136
4,SiO2,0.889437
5,Ta2O5,0.375855
6,SiO2,0.860696
7,Ta2O5,0.991502
8,SiO2,1.01835
9,Ta2O5,0.983163
10,SiO2,0.864837
11,Ta2O5,0.492631
12,SiO2,0.848019
13,Ta2O5,0.993023
14,SiO2,1.044664
15,Ta2O5,1.055734
16,SiO2,1.139433
17,Ta2O5,1.271368
18,SiO2,1.213768
19,Ta2O5,1.077732
20,SiO2,1.050323
21,Ta2O5,0.986651
22,SiO2,0.934442
23,Ta2O5,0.766196
24,SiO2,0.82598
25,Ta2O5,0.926558
26,SiO2,1.021961
27,Ta2O5,1.017922
28,SiO2,1.07235
29,Ta2O5,1.057104
30,SiO2,1.125774
31,Ta2O5,1.083807
32,SiO2,1.136226
33,Ta2O5,1.044046
34,SiO2,1.098656
35,Ta2O5,1.002767
36,SiO2,1.084852
37,Ta2O5,0.97116
38,SiO2,1.099386
39,Ta2O5,0.936047
40,SiO2,1.144008
41,Ta2O5,0.899447
42,SiO2,1.199209
43,Ta2O5,0.871018
44,SiO2,1.23155
45,Ta2O5,0.856914
