Layer #,Material,Length [lambda/4n]
1,Ta2O5,1.179707
2,SiO2,1.540166
3,Ta2O5,1.310016
4,SiO2,0.429087
5,Ta2O5,0.398363
6,SiO2,1.06814
7,Ta2O5,1.181875
8,SiO2,1.396105
9,Ta2O5,1.606312
10,SiO2,1.13809
11,Ta2O5,1.6684
12,SiO2,1.026301
13,Ta2O5,0.709255
14,SiO2,0.531133
15,Ta2O5,1.05815
16,SiO2,1.060145
17,Ta2O5,1.087161
18,SiO2,1.068995
19,Ta2O5,1.070682
20,SiO2,1.035783
21,Ta2O5,0.995094
22,SiO2,0.962283
23,Ta2O5,0.9485
24,SiO2,0.986598
25,Ta2O5,0.9819
26,SiO2,1.024897
27,Ta2O5,0.994638
28,SiO2,1.046576
29,Ta2O5,0.98954
30,SiO2,1.080816
31,Ta2O5,0.950957
32,SiO2,1.16607
33,Ta2O5,0.792488
34,SiO2,1.337019
35,Ta2O5,0.50418
36,SiO2,1.464195
37,Ta2O5,0.579812
38,SiO2,1.533045
39,Ta2O5,0.576594
40,SiO2,1.591342
41,Ta2O5,0.502921
42,SiO2,1.580818
43,Ta2O5,0.457282
44,SiO2,1.575177
45,Ta2O5,0.442395
46,SiO2,1.680794
47,Ta2O5,0.328041
48,SiO2,1.91832
49,Ta2O5,0.113095
50,SiO2,1.376669
